x-coordinate_in_pixel, y-coordinate_in_pixel, Chan1_FluoValue, Chan2_FluoValue, Chan3_FluoValue, index
1569, 515, 17447, 7452, 3696, 338
2251, 314, 16230, 7008, 3482, 339
975, 399, 18803, 7781, 3621, 340
1630, 435, 17100, 6989, 3486, 341
1742, 370, 16826, 7263, 3348, 342
980, 328, 18129, 7485, 3532, 343
2172, 316, 16185, 6723, 3264, 344
696, 399, 16069, 6745, 3223, 345
690, 1206, 14092, 5990, 2903, 346
2195, 316, 16201, 6906, 3301, 347
1120, 404, 17873, 7588, 3468, 348
2234, 316, 16208, 6892, 3224, 349
2142, 434, 16624, 6917, 3284, 350
1045, 551, 18645, 7615, 3831, 351
2241, 368, 16714, 7009, 3424, 352
2145, 530, 16713, 7083, 3439, 353
1758, 512, 17933, 7668, 3609, 354
1283, 317, 17762, 7116, 3484, 355
1062, 404, 18076, 7949, 3704, 356
879, 329, 16044, 6771, 3409, 357
2058, 389, 16973, 7019, 3386, 358
1870, 523, 18156, 7265, 3570, 359
1101, 371, 17778, 7561, 3599, 360
1235, 389, 19786, 7691, 3611, 361
1074, 522, 18818, 7818, 3737, 362
961, 329, 18440, 7538, 3508, 363
2098, 392, 17102, 7174, 3507, 364
2215, 316, 16335, 7010, 3435, 365
1952, 745, 17554, 7335, 3527, 366
965, 372, 17835, 7541, 3655, 367
1263, 317, 17799, 7400, 3596, 368
275, 726, 16957, 7036, 3407, 369
2224, 332, 16563, 6908, 3407, 370
2080, 385, 16463, 6907, 3430, 371
1648, 442, 17042, 7151, 3536, 372
543, 521, 15761, 6947, 3216, 373
1092, 432, 17930, 7532, 3618, 374
2172, 410, 16906, 6923, 3456, 375
803, 368, 15684, 6550, 3399, 376
1659, 440, 17283, 7062, 3426, 377
1767, 385, 17410, 7189, 3522, 378
1529, 378, 16770, 7014, 3486, 379
2199, 521, 16535, 6921, 3470, 380
924, 331, 16004, 7072, 3437, 381
1502, 501, 17508, 7172, 3366, 382
909, 386, 17712, 7641, 3610, 383
1889, 746, 17332, 7433, 3563, 384
804, 442, 18035, 7617, 3669, 385
1548, 411, 16920, 7075, 3465, 386
1701, 368, 17169, 7040, 3334, 387
2148, 318, 16744, 7048, 3349, 388
2161, 317, 16053, 6882, 3196, 389
820, 378, 17589, 7362, 3667, 390
1206, 330, 17572, 7501, 3599, 391
2007, 736, 17240, 7301, 3550, 392
881, 404, 17763, 7441, 3630, 393
1368, 367, 17024, 7155, 3408, 394
896, 318, 15943, 7469, 3573, 395
1368, 400, 16980, 6988, 3506, 396
432, 558, 15554, 7401, 3407, 397
960, 318, 15549, 6613, 3166, 398
1091, 365, 18102, 7618, 3598, 399
2050, 332, 17131, 6960, 3465, 400
921, 501, 17934, 7466, 3660, 401
938, 390, 17619, 7283, 3572, 402
1967, 1210, 16475, 7120, 3422, 403
1148, 320, 17164, 7303, 3466, 404
1545, 364, 16832, 6796, 3535, 405
1186, 319, 17868, 7474, 3487, 406
1205, 318, 17026, 7307, 3533, 407
1704, 432, 16984, 6946, 3488, 408
864, 514, 18409, 7339, 3544, 409
1225, 318, 17195, 7707, 3593, 410
962, 403, 17309, 7022, 3421, 411
1463, 400, 16835, 7137, 3469, 412
1939, 377, 17221, 7221, 3381, 413
1244, 318, 18483, 7937, 3770, 414
872, 441, 16365, 7279, 3567, 415
1071, 332, 17812, 7484, 3496, 416
1148, 386, 17945, 7691, 3629, 417
1163, 747, 15436, 6351, 3096, 418
513, 509, 15338, 6580, 3044, 419
1810, 331, 17225, 7188, 3482, 420
1763, 501, 18018, 7634, 3661, 421
1168, 397, 18050, 7755, 3650, 422
996, 558, 18888, 7747, 3759, 423
495, 513, 15735, 6680, 3200, 424
822, 398, 17409, 7586, 3658, 425
1111, 410, 18081, 7270, 3637, 426
2087, 549, 17119, 7082, 3332, 427
876, 320, 18510, 7856, 3770, 428
604, 727, 17399, 7157, 3540, 429
1110, 332, 18162, 7646, 3548, 430
2231, 738, 16280, 6687, 3352, 431
2126, 398, 17851, 7354, 3387, 432
1937, 330, 17580, 7294, 3511, 433
1982, 399, 17085, 7098, 3358, 434
1989, 331, 27544, 7243, 3321, 435
1687, 397, 17160, 6864, 3414, 436
2232, 428, 16700, 6943, 3438, 437
2061, 331, 17031, 7096, 3433, 438
1617, 556, 17335, 7276, 3575, 439
751, 509, 17669, 7321, 3526, 440
641, 400, 17640, 7579, 3591, 441
1311, 378, 16957, 7322, 3543, 442
1167, 320, 17987, 7424, 3563, 443
2110, 516, 16903, 6938, 3347, 444
896, 338, 18566, 7607, 3698, 445
1320, 416, 17090, 7492, 3475, 446
1159, 402, 18482, 7747, 3617, 447
1775, 365, 16750, 6835, 3480, 448
2138, 320, 17370, 7108, 3308, 449
1716, 430, 17681, 7412, 3653, 450
2237, 775, 16227, 6804, 3250, 451
1671, 410, 17226, 6932, 3476, 452
1051, 333, 26957, 7663, 3484, 453
2169, 392, 17097, 7146, 3572, 454
1024, 518, 18522, 7870, 3761, 455
1129, 321, 18004, 7662, 3617, 456
715, 366, 15919, 7073, 3362, 457
1620, 546, 17651, 7390, 3598, 458
741, 398, 15959, 7169, 3461, 459
903, 534, 18132, 7253, 3514, 460
2067, 523, 16824, 7146, 3407, 461
990, 334, 18615, 7739, 3694, 462
2251, 395, 16488, 6899, 3343, 463
1347, 522, 17561, 7427, 3636, 464
970, 323, 18431, 7598, 3615, 465
1614, 477, 18017, 7485, 3609, 466
2193, 374, 16488, 6942, 3459, 467
650, 434, 15677, 7147, 3290, 468
1852, 334, 16935, 7065, 3425, 469
1646, 396, 17315, 7143, 3480, 470
1060, 701, 15855, 6602, 3267, 471
1701, 750, 17087, 7140, 3488, 472
851, 334, 16601, 7250, 3435, 473
1574, 397, 16943, 6898, 3429, 474
732, 761, 17200, 7273, 3390, 475
488, 750, 17149, 7097, 3479, 476
1932, 368, 17288, 6959, 3358, 477
1104, 550, 17317, 7280, 3359, 478
1678, 476, 17814, 7515, 3648, 479
2205, 332, 16331, 6829, 3310, 480
560, 518, 15068, 6340, 3027, 481
2126, 321, 17790, 7098, 3376, 482
1558, 517, 17887, 7236, 3689, 483
1978, 333, 27220, 7317, 3434, 484
2205, 321, 16340, 6782, 3376, 485
2093, 403, 16945, 7036, 3446, 486
2224, 321, 16517, 6903, 3422, 487
2176, 477, 26078, 7241, 3426, 488
1424, 434, 17622, 7274, 3614, 489
646, 1242, 14379, 5992, 2849, 490
2243, 322, 16461, 7069, 3407, 491
1098, 700, 15913, 6682, 3223, 492
990, 323, 18221, 7631, 3659, 493
2226, 777, 15899, 6713, 3222, 494
1564, 370, 17004, 6962, 3436, 495
1511, 416, 17099, 6996, 3486, 496
1644, 1208, 16214, 6648, 3324, 497
1311, 334, 17557, 7466, 3548, 498
1253, 323, 17850, 7388, 3486, 499
1553, 477, 17784, 7439, 3543, 500
1209, 407, 17530, 7340, 3392, 501
1927, 700, 18249, 7431, 3638, 502
1273, 323, 17883, 7424, 3489, 503
659, 439, 15714, 7306, 3566, 504
1637, 339, 17227, 7077, 3425, 505
2149, 743, 16395, 6828, 3280, 506
1292, 323, 17656, 7382, 3526, 507
1919, 476, 18427, 7392, 3542, 508
1198, 403, 18955, 7527, 3674, 509
1723, 393, 17222, 7361, 3569, 510
1244, 350, 18084, 7305, 3482, 511
1331, 335, 17075, 7387, 3494, 512
1312, 323, 17222, 7172, 3410, 513
1472, 553, 25715, 7014, 3225, 514
1443, 477, 17778, 7339, 3519, 515
1944, 338, 17062, 6914, 3291, 516
1453, 396, 16723, 7161, 3455, 517
1129, 1215, 14696, 6085, 2948, 518
550, 552, 16655, 7587, 3751, 519
777, 375, 15936, 7009, 3457, 520
2251, 417, 15930, 7093, 3393, 521
679, 370, 15634, 6838, 3348, 522
630, 416, 15777, 6881, 3345, 523
2115, 322, 17272, 6893, 3250, 524
1264, 415, 17758, 7235, 3615, 525
1278, 515, 17047, 7200, 3446, 526
1196, 336, 17700, 7484, 3580, 527
2163, 701, 17062, 7190, 3504, 528
2194, 407, 16620, 6946, 3362, 529
905, 323, 16944, 7412, 3549, 530
418, 534, 16139, 6783, 3174, 531
879, 371, 17680, 7547, 3633, 532
1776, 336, 16981, 7031, 3408, 533
2192, 388, 16430, 6941, 3341, 534
1405, 524, 17894, 7661, 3661, 535
1100, 326, 27688, 8519, 3466, 536
1196, 324, 27630, 7595, 3605, 537
1071, 376, 18540, 7819, 3690, 538
